"date","date_published","measure","group","interval","min_age","max_age","proportion"
2020-05-13,2020-05-14T17:15:00.000+02:00,deaths_age,"60 - 70","[60, 70)",60,70,0.07
2020-05-13,2020-05-14T17:15:00.000+02:00,deaths_age,"70 - 80","[70, 80)",70,80,0.24
2020-05-13,2020-05-14T17:15:00.000+02:00,deaths_age,"≥ 80","[80, +∞)",80,,0.68
2020-05-14,2020-05-15T17:15:00.000+02:00,deaths_age,"0 - 30","[0, 30)",0,30,0.0
2020-05-14,2020-05-15T17:15:00.000+02:00,deaths_age,"30 - 40","[30, 40)",30,40,0.0
2020-05-14,2020-05-15T17:15:00.000+02:00,deaths_age,"40 - 50","[40, 50)",40,50,0.0
2020-05-14,2020-05-15T17:15:00.000+02:00,deaths_age,"50 - 60","[50, 60)",50,60,0.02
2020-05-14,2020-05-15T17:15:00.000+02:00,deaths_age,"60 - 70","[60, 70)",60,70,0.07
2020-05-14,2020-05-15T17:15:00.000+02:00,deaths_age,"70 - 80","[70, 80)",70,80,0.24
2020-05-14,2020-05-15T17:15:00.000+02:00,deaths_age,"≥ 80","[80, +∞)",80,,0.67
2020-05-15,2020-05-16T17:30:00.000+02:00,deaths_age,"0 - 30","[0, 30)",0,30,0.0
2020-05-15,2020-05-16T17:30:00.000+02:00,deaths_age,"30 - 40","[30, 40)",30,40,0.0
2020-05-15,2020-05-16T17:30:00.000+02:00,deaths_age,"40 - 50","[40, 50)",40,50,0.0
2020-05-15,2020-05-16T17:30:00.000+02:00,deaths_age,"50 - 60","[50, 60)",50,60,0.02
2020-05-15,2020-05-16T17:30:00.000+02:00,deaths_age,"60 - 70","[60, 70)",60,70,0.07
2020-05-15,2020-05-16T17:30:00.000+02:00,deaths_age,"70 - 80","[70, 80)",70,80,0.24
2020-05-15,2020-05-16T17:30:00.000+02:00,deaths_age,"≥ 80","[80, +∞)",80,,0.67
2020-05-16,2020-05-17T17:15:00.000+02:00,deaths_age,"0 - 30","[0, 30)",0,30,0.0
2020-05-16,2020-05-17T17:15:00.000+02:00,deaths_age,"30 - 40","[30, 40)",30,40,0.0
2020-05-16,2020-05-17T17:15:00.000+02:00,deaths_age,"40 - 50","[40, 50)",40,50,0.0
2020-05-16,2020-05-17T17:15:00.000+02:00,deaths_age,"50 - 60","[50, 60)",50,60,0.02
2020-05-16,2020-05-17T17:15:00.000+02:00,deaths_age,"60 - 70","[60, 70)",60,70,0.07
