date_start,date_end,date_published,measure,spatial_unit_type,ISO 3166-2:LU,LAU,LAU1_2012,LAU2_2012,LAU1_2010,LAU2_2010,name,residents,cases_new,cases_new_per_week_100k
2020-08-24,2020-09-13,2020-09-16T17:16:00.000+02:00,cases_residents_new,canton,LU-WI,,08,,09,,Wiltz,17866,19,35.45
2020-08-24,2020-09-13,2020-09-16T17:16:00.000+02:00,cases_residents_new,municipality,,0304,03,04,00,01,Luxembourg-Ville,122825,234,63.50
2020-08-24,2020-09-13,2020-09-16T17:16:00.000+02:00,cases_residents_new,canton_equivalent,,,,,04,,Luxembourg-Campagne,68517,65,31.62
2020-08-31,2020-09-20,2020-09-23T15:00:00.000+02:00,cases_residents_new,canton,LU-CA,,01,,02,,Capellen,50343,70,46.35
2020-08-31,2020-09-20,2020-09-23T15:00:00.000+02:00,cases_residents_new,canton,LU-CL,,05,,06,,Clervaux,19043,12,21.01
2020-08-31,2020-09-20,2020-09-23T15:00:00.000+02:00,cases_residents_new,canton,LU-DI,,06,,07,,Diekirch,33865,42,41.34
2020-08-31,2020-09-20,2020-09-23T15:00:00.000+02:00,cases_residents_new,canton,LU-EC,,10,,11,,Echternach,19264,8,13.84
2020-08-31,2020-09-20,2020-09-23T15:00:00.000+02:00,cases_residents_new,canton,LU-ES,,02,,03,,Esch-sur-Alzette,183943,526,95.32
2020-08-31,2020-09-20,2020-09-23T15:00:00.000+02:00,cases_residents_new,canton,LU-GR,,11,,12,,Grevenmacher,31137,30,32.12
2020-08-31,2020-09-20,2020-09-23T15:00:00.000+02:00,cases_residents_new,canton,LU-LU,,03,,,,Luxembourg,191342,402,70.03
2020-08-31,2020-09-20,2020-09-23T15:00:00.000+02:00,cases_residents_new,canton,LU-ME,,04,,05,,Mersch,33607,51,50.58
2020-08-31,2020-09-20,2020-09-23T15:00:00.000+02:00,cases_residents_new,canton,LU-RD,,07,,08,,Redange,19649,16,27.14
2020-08-31,2020-09-20,2020-09-23T15:00:00.000+02:00,cases_residents_new,canton,LU-RM,,12,,13,,Remich,23399,43,61.26
2020-08-31,2020-09-20,2020-09-23T15:00:00.000+02:00,cases_residents_new,canton,LU-VD,,09,,10,,Vianden,5474,2,12.18
2020-08-31,2020-09-20,2020-09-23T15:00:00.000+02:00,cases_residents_new,canton,LU-WI,,08,,09,,Wiltz,17866,31,57.84
2020-08-31,2020-09-20,2020-09-23T15:00:00.000+02:00,cases_residents_new,municipality,,0304,03,04,00,01,Luxembourg-Ville,122825,291,78.97
2020-08-31,2020-09-20,2020-09-23T15:00:00.000+02:00,cases_residents_new,canton_equivalent,,,,,04,,Luxembourg-Campagne,68517,111,54.00
